episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL007,1.0,605.0,1.0,36.0,0.0,0.0,0.0,0.0,3.372043199626688
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL0010,1.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716376835974
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL009,1.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163794500894
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL002,1.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716378726569
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL005,1.0,800.0,1.0,38.0,0.0,0.0,0.0,0.0,1.4806476003625946
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL001,1.0,856.0,2.0,100.0,0.0,0.0,0.0,0.0,-57.24136306956782
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL003,1.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0,37.29280492834697
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL006,1.0,1032.0,2.0,114.0,0.0,0.0,0.0,0.0,-70.45606267528943
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL008,1.0,1088.0,3.0,135.0,0.0,0.0,0.0,0.0,-90.34930403155994
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL004,1.0,1162.0,3.0,147.0,0.0,0.0,0.0,0.0,-101.69235488092329
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL007,1.0,643.0,3.0,130.0,0.0,0.0,0.0,0.0,-85.52354946969407
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL003,1.0,649.0,4.0,188.0,0.0,0.0,0.0,0.0,-140.38146826548459
