episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL007,1.0,657.0,1.0,41.0,0.0,0.0,0.0,0.0,-1.356445770408385
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL0010,1.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163769762766
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL009,1.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163794679766
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL002,1.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716378756016
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL005,1.0,868.0,1.0,42.0,0.0,0.0,0.0,0.0,-2.3021435753407005
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL001,1.0,928.0,2.0,107.0,0.0,0.0,0.0,0.0,-63.868130194294984
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL003,1.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2712879993322
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL006,1.0,1122.0,2.0,125.0,0.0,0.0,0.0,0.0,-80.8645068076975
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL008,1.0,1180.0,3.0,146.0,0.0,0.0,0.0,0.0,-100.75922644048023
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL004,1.0,1257.0,3.0,163.0,0.0,0.0,0.0,0.0,-116.83043763707784
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL007,1.0,698.0,3.0,141.0,0.0,0.0,0.0,0.0,-95.92622520311457
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL003,1.0,704.0,4.0,205.0,0.0,0.0,0.0,0.0,-156.45902452930034
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL005,1.0,705.0,4.0,188.0,0.0,0.0,0.0,0.0,-140.37402152807576
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL0010,1.0,702.0,2.0,121.0,0.0,0.0,0.0,0.0,-77.01226932111479
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL004,1.0,806.0,4.0,187.0,0.0,0.0,0.0,0.0,-139.42832374226694
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL001,1.0,842.0,3.0,176.0,0.0,0.0,0.0,0.0,-129.02564798761347
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL006,1.0,848.0,5.0,430.0,0.0,0.0,0.0,0.0,-369.23288769009065
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL009,1.0,890.0,2.0,288.0,0.0,0.0,0.0,0.0,-234.94380089199768
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL008,1.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,37.307435691482524
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL002,1.0,1065.0,5.0,198.0,0.0,0.0,0.0,0.0,-149.83099945701116
